[2023-09-22 23:15:44,067] INFO _log() L187  [33mPress CTRL+C to quit[0m - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:15:48,154] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:15:48] "[32mGET / HTTP/1.1[0m" 302 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:15:48,188] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:15:48] "GET /openapi/ HTTP/1.1" 200 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:15:48,810] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:15:48] "[36mGET /openapi/static/images/rapidoc.svg HTTP/1.1[0m" 304 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:15:48,863] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:15:48] "[36mGET /openapi/static/images/swagger.svg HTTP/1.1[0m" 304 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:15:48,888] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:15:48] "[36mGET /openapi/static/images/redoc.svg HTTP/1.1[0m" 304 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:16:23,605] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:16:23] "GET /openapi/swagger HTTP/1.1" 200 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:16:23,643] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:16:23] "[36mGET /openapi/static/css/swagger-ui.css HTTP/1.1[0m" 304 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:16:23,673] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:16:23] "[36mGET /openapi/static/js/swagger-ui-bundle.js HTTP/1.1[0m" 304 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:16:23,675] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:16:23] "[36mGET /openapi/static/js/swagger-ui-standalone-preset.js HTTP/1.1[0m" 304 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:16:24,112] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:16:24] "GET /openapi/openapi.json HTTP/1.1" 200 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:16:52,213] WARNING get_buscar_produto() L80   Erro ao buscar equipamento 'DVP14SS2', Equipamento não encontrado na base :/ - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\app.py L80  
[2023-09-22 23:16:52,216] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:16:52] "[33mGET /buscar_equipamento?modelo=DVP14SS2 HTTP/1.1[0m" 404 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:17:07,614] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:17:07] "GET /listar_equipamentos HTTP/1.1" 200 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:17:39,155] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:17:39] "GET /listar_equipamentos HTTP/1.1" 200 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:23:34,195] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:23:34] "POST /cadastrar_equipamento HTTP/1.1" 200 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:24:14,577] WARNING del_equipamento() L111  Erro ao deletar equipamento 'DVP14SS2', 'Equipamento não encontrado na base :/' - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\app.py L111 
[2023-09-22 23:24:14,594] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:24:14] "[33mDELETE /deleta_equipamento?modelo=DVP14SS2 HTTP/1.1[0m" 404 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:24:34,568] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:24:34] "GET /listar_equipamentos HTTP/1.1" 200 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:27:05,988] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:27:05] "GET /openapi/swagger HTTP/1.1" 200 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:27:06,049] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:27:06] "[36mGET /openapi/static/css/swagger-ui.css HTTP/1.1[0m" 304 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:27:06,079] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:27:06] "[36mGET /openapi/static/js/swagger-ui-bundle.js HTTP/1.1[0m" 304 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:27:06,097] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:27:06] "[36mGET /openapi/static/js/swagger-ui-standalone-preset.js HTTP/1.1[0m" 304 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:27:06,699] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:27:06] "GET /openapi/openapi.json HTTP/1.1" 200 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:27:06,702] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:27:06] "[36mGET /openapi/static/images/swagger.svg HTTP/1.1[0m" 304 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:28:29,191] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:28:29] "POST /cadastrar_equipamento HTTP/1.1" 200 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:28:58,413] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:28:58] "GET /buscar_equipamento?modelo=DVP14SS2 HTTP/1.1" 200 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:29:12,828] WARNING get_buscar_produto() L80   Erro ao buscar equipamento 'DVPrr', Equipamento não encontrado na base :/ - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\app.py L80  
[2023-09-22 23:29:12,834] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:29:12] "[33mGET /buscar_equipamento?modelo=DVPrr HTTP/1.1[0m" 404 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:29:29,644] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:29:29] "GET /listar_equipamentos HTTP/1.1" 200 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:29:53,729] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:29:53] "DELETE /deleta_equipamento?modelo=DVP14SS2 HTTP/1.1" 200 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:30:21,757] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:30:21] "GET /listar_equipamentos HTTP/1.1" 200 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
[2023-09-22 23:30:37,011] INFO _log() L187  127.0.0.1 - - [22/Sep/2023 23:30:37] "POST /cadastrar_equipamento HTTP/1.1" 200 - - call_trace=D:\Área de Trabalho\Pós-Graduação\02 - Disciplinas\Sprint 01\MVP\mvp_api\venv\lib\site-packages\werkzeug\_internal.py L187 
